"NumeroOperation";"DateOperation";"NumeroCompte";"LibelleOperation";"Montant"
1;"2017-01-01";"41";"Prélévement automatique";"-131.58"
2;"2017-01-01";"17";"Facture carte";"-185.31"
3;"2017-01-01";"44";"Virement";"-203.39"
4;"2017-01-01";"150";"Encaissement chèque 535370";"-274.91"
5;"2017-01-01";"25";"Virement";"724.98"
6;"2017-01-01";"11";"Prélévement automatique";"-196.93"
7;"2017-01-01";"33";"Facture carte";"-109.6"
8;"2017-01-01";"153";"Encaissement chèque 345264";"-180.66"
9;"2017-01-01";"94";"Virement";"1420.22"
10;"2017-01-01";"30";"Encaissement chèque 661413";"-374.77"
11;"2017-01-01";"111";"Facture carte";"-66.21"
12;"2017-01-01";"48";"Facture carte";"-67.51"
13;"2017-01-01";"103";"Facture carte";"-189.53"
14;"2017-01-01";"195";"Facture carte";"-4.54"
15;"2017-01-01";"134";"Facture carte";"-128.07"
16;"2017-01-01";"17";"Facture carte";"-137.58"
17;"2017-01-01";"42";"Facture carte";"-169.88"
18;"2017-01-01";"125";"Encaissement chèque 504828";"-229.35"
19;"2017-01-01";"109";"Virement";"603.78"
20;"2017-01-01";"3";"Prélévement automatique";"-106.66"
21;"2017-01-01";"41";"Encaissement chèque 869447";"-214.75"
22;"2017-01-01";"13";"Encaissement chèque 057048";"-45.39"
23;"2017-01-01";"12";"Encaissement chèque 245654";"-261.33"
24;"2017-01-01";"122";"Prélévement automatique";"-21.46"
25;"2017-01-01";"136";"Virement";"-265.25"
26;"2017-01-01";"125";"Prélévement automatique";"-154.14"
27;"2017-01-01";"138";"Encaissement chèque 645170";"-88.62"
28;"2017-01-01";"2";"Facture carte";"-156.18"
29;"2017-01-01";"88";"Facture carte";"-70.41"
30;"2017-01-01";"56";"Virement";"-294.05"
31;"2017-01-01";"101";"Prélévement automatique";"-113.64"
32;"2017-01-01";"11";"Prélévement automatique";"-145.92"
33;"2017-01-01";"179";"Facture carte";"-183.98"
34;"2017-01-01";"122";"Virement";"1560.74"
35;"2017-01-01";"25";"Prélévement automatique";"-169.52"
36;"2017-01-01";"109";"Virement";"-83.76"
37;"2017-01-01";"167";"Encaissement chèque 451662";"138.69"
38;"2017-01-01";"50";"Virement";"1476.62"
39;"2017-01-01";"183";"Encaissement chèque 829512";"-247.48"
40;"2017-01-01";"42";"Facture carte";"-134.35"
41;"2017-01-01";"158";"Prélévement automatique";"-178.54"
42;"2017-01-01";"41";"Encaissement chèque 806539";"-8.07"
43;"2017-01-01";"161";"Facture carte";"-114.0"
44;"2017-01-01";"137";"Virement";"101.36"
45;"2017-01-01";"13";"Prélévement automatique";"-66.17"
46;"2017-01-01";"12";"Prélévement automatique";"-138.33"
47;"2017-01-01";"87";"Prélévement automatique";"-177.6"
48;"2017-01-01";"168";"Facture carte";"-102.57"
49;"2017-01-01";"3";"Encaissement chèque 927115";"-239.88"
50;"2017-01-01";"143";"Facture carte";"-126.62"
51;"2017-01-01";"161";"Virement";"1376.97"
52;"2017-01-01";"17";"Facture carte";"-163.63"
53;"2017-01-01";"33";"Facture carte";"-37.07"
54;"2017-01-01";"112";"Prélévement automatique";"-195.62"
55;"2017-01-01";"8";"Virement";"-108.94"
56;"2017-01-01";"105";"Virement";"-285.34"
57;"2017-01-01";"2";"Virement";"433.1"
58;"2017-01-01";"3";"Facture carte";"-166.82"
59;"2017-01-01";"168";"Facture carte";"-147.84"
60;"2017-01-01";"25";"Facture carte";"-46.21"
61;"2017-01-01";"36";"Prélévement automatique";"-143.75"
62;"2017-01-01";"161";"Encaissement chèque 201012";"279.89"
63;"2017-01-01";"179";"Encaissement chèque 226464";"-53.91"
64;"2017-01-01";"166";"Virement";"828.98"
65;"2017-01-01";"103";"Facture carte";"-28.33"
66;"2017-01-01";"44";"Facture carte";"-130.36"
67;"2017-01-01";"2";"Prélévement automatique";"-182.8"
68;"2017-01-01";"143";"Facture carte";"-54.09"
69;"2017-01-01";"145";"Versement forfaitaire";"127.04"
70;"2017-01-01";"91";"Encaissement chèque 096241";"-365.44"
71;"2017-01-01";"1";"Facture carte";"-116.43"
72;"2017-01-01";"74";"Virement";"-420.9"
73;"2017-01-01";"80";"Virement";"359.5"
74;"2017-01-01";"172";"Prélévement automatique";"-141.88"
75;"2017-01-01";"41";"Encaissement chèque 333333";"357.82"
76;"2017-01-01";"109";"Encaissement chèque 712979";"67.29"
77;"2017-01-01";"165";"Virement";"-482.03"
78;"2017-01-01";"13";"Facture carte";"-56.64"
79;"2017-01-01";"166";"Facture carte";"-196.93"
80;"2017-01-01";"8";"Facture carte";"-149.85"
81;"2017-01-01";"152";"Encaissement chèque 508631";"215.89"
82;"2017-01-01";"131";"Facture carte";"-52.69"
83;"2017-01-01";"3";"Prélévement automatique";"-37.14"
84;"2017-01-01";"104";"Prélévement automatique";"-139.44"
85;"2017-01-01";"13";"Prélévement automatique";"-57.79"
86;"2017-01-01";"118";"Virement";"712.93"
87;"2017-01-01";"134";"Virement";"908.63"
88;"2017-01-01";"80";"Encaissement chèque 876523";"55.03"
89;"2017-01-01";"187";"Virement";"569.18"
90;"2017-01-01";"33";"Encaissement chèque 856469";"-187.21"
91;"2017-01-01";"44";"Facture carte";"-43.0"
92;"2017-01-01";"179";"Virement";"1254.81"
93;"2017-01-01";"179";"Virement";"1052.32"
94;"2017-01-01";"183";"Encaissement chèque 592403";"330.82"
95;"2017-01-01";"136";"Facture carte";"-139.39"
96;"2017-01-01";"25";"Virement";"316.38"
97;"2017-01-01";"183";"Facture carte";"-172.15"
98;"2017-01-01";"2";"Encaissement chèque 859917";"-192.91"
99;"2017-01-01";"12";"Prélévement automatique";"-94.14"
100;"2017-01-01";"19";"Encaissement chèque 198219";"2.0"
101;"2017-01-01";"150";"Encaissement chèque 830605";"-351.31"
